State,Democratic,Republican,Other
AL,693498,1233624,6508
AK,82927,185296,21581
AS,7659,,5417
AZ,946994,1131663,94660
AR,304770,637591,95693
CA,7392703,4530012,281642
CO,1080454,1143796,226589
CT,884398,490580,91533
DE,249933,129757,8369
DC,246664,,31899
FL,3392402,3826522,294610
GA,1448869,2104098,620
GU,19765,12995,246
HI,285008,137531,
ID,208297,406814,20107
IL,2743702,2207818,106613
IN,1142554,1351760,59432
IA,772387,726505,37957
KS,195505,740981,121253
KY,791342,1201674,43038
LA,359190,1239614,203400
ME,427819,265982,
MD,1626872,858406,100236
MA,2080594,697637,113203
MI,2487243,2238540,177986
MN,1560984,1210409,41990
MS,411398,703635,93142
MO,1119554,1463586,92760
MT,204939,255468,19333
NE,276239,496276,
NV,453310,457239,63193
NH,340925,311636,29855
NJ,1960820,1430386,61661
NM,422189,323269,632
NY,3904513,1949229,615983
NC,2218357,2137167,28588
ND,131869,173433,10769
MP,,2503,9829
OH,2412451,2620251,107613
OK,410324,856872,58739
OR,949660,687839,70669
PA,2793538,2710070,56987
PR,,,1856345
RI,232679,161926,33170
SC,714191,1026129,62414
SD,153789,207640,
TN,796513,1369562,117652
TX,2949900,4429270,285038
UT,324309,647873,26715
VT,208600,67543,13788
VI,11512,2131,5527
VA,1806025,1876761,57669
WA,1852870,1511131,
WV,257101,384253,
WI,1445015,1401995,19040
WY,57573,166452,17596
Total:,60252696,58541130,5999289
