State,GENERAL Democratic,GENERAL Republican,GENERAL Other
AL,"708,425","1,079,657","4,677"
AK,"67,074","213,216","19,706"
AS,"6,656","5,472",
AZ,"597,526","1,127,591","146,328"
AR,"426,380","357,840","7,020"
CA,"6,223,698","5,030,821","369,234"
CO,"995,283","991,835","51,893"
CT,"785,747","629,934","13,057"
DE,"105,716","245,978","4,351"
DC,"202,027","18,296",890
FL,"2,212,324","3,319,296","95,874"
GA,"1,140,869","1,819,817",77
GU,"31,051",,837
HI,"261,884","148,443","6,243"
ID,"171,060","401,366",
IL,"2,675,273","2,271,676","41,716"
IN,"999,082","1,381,699","35,470"
IA,"624,620","822,653","10,888"
KS,"386,970","723,794","45,619"
KY,"602,085","1,017,379","15,779"
LA,"728,285","1,068,882",
ME,"418,380","283,210","8,586"
MD,"1,310,791","896,232","48,932"
MA,"2,059,984","435,239","85,732"
MI,"2,242,435","2,288,594","100,029"
MN,"1,399,624","1,236,094","85,963"
MS,"336,240","658,589","121,374"
MO,"1,192,674","1,429,767","44,582"
MT,"145,606","286,076","12,548"
NE,"230,697","515,115","19,160"
NV,"333,912","420,711","36,810"
NH,"243,506","396,024","12,036"
NJ,"1,721,392","1,514,784","48,419"
NM,"384,900","357,805",194
NY,"3,457,124","2,209,291","556,003"
NC,"1,669,864","1,743,131",76
ND,"185,130","125,684",
OH,"2,514,615","2,650,122","18,771"
OK,"389,029","875,033","110,548"
OR,"951,688","761,545","59,073"
PA,"2,478,239","2,565,077","108,958"
PR,,,"1,959,553"
RI,"279,315","112,958","9,902"
SC,"486,479","913,168","39,471"
SD,"207,837","178,823","2,808"
TN,"1,031,959","1,160,821","25,958"
TX,"2,713,968","4,012,534","232,101"
UT,"361,628","520,403","26,826"
VT,"21,684","74,271","209,053"
VI,"17,879","1,512","7,540"
VA,"1,023,187","1,817,422","163,398"
WA,"1,608,751","1,095,493","25,751"
WV,"415,396","303,042","3,218"
WI,"1,368,537","1,380,819","72,257"
WY,"99,989","132,107","6,938"
Total:,"53,254,474","56,027,141","5,132,227"
