State,Democratic,Republican,Other
AL,718367,1120903,15998
AK,142560,158939,15479
AS,7499,4350,570
AZ,1055305,1021798,78591
AR,415481,215196,156516
CA,7377725,4515372,428982
CO,1259768,990870,33293
CT,908761,504785,113853
DE,146434,235437,3586
DC,228376,,19095
FL,3434831,3792167,194174
GA,1858090,1796549,309
GU,28247,,884
HI,319956,82540,15335
ID,259776,377464,612
IL,3176203,1961173,110819
IN,1388963,1240577,47310
IA,759460,698241,25464
KS,470031,690005,48266
KY,761209,955182,33449
LA,398474,594306,53396
ME,431903,278198,
MD,1677238,762539,58175
MA,2245778,318461,40875
MI,2516640,2114293,179757
MN,1612480,1069015,121119
MS,731805,527330,5612
MO,1413016,1313018,95450
MT,155930,308470,16500
NE,264885,510513,
NV,457320,383548,67386
NH,364767,294560,15648
NJ,1911827,1461820,64333
NM,457135,321083,36348
NY,3858024,1800093,732399
NC,2293971,1901517,19605
ND,194577,119388,
MP,307,2117,7737
OH,2752111,2491498,130731
OK,503614,802530,30783
OR,1036171,435920,210418
PA,3209168,2520805,61311
PR,,,1908125
RI,303670,118773,15789
SC,919529,939703,14658
SD,256041,122966,
TN,1195542,977677,128666
TX,2979398,4203917,345307
UT,393761,503917,39161
VT,248203,,49948
VI,28153,,69
VA,1852788,1590687,51880
WA,1725316,1189147,
WV,432075,213339,146
WI,1383536,1274987,116651
WY,106758,131244,11393
Total:,65028953,51958927,5971961
