State,Democratic,Republican,Other
AL,"507,117","694,606","67,079"
AK,"39,357","169,685","18,683"
AS,"4,959",,"4,083"
AZ,"472,135","681,922","40,343"
AR,"392,086","283,739","12,451"
CA,"3,731,081","3,225,666","301,670"
CO,"589,463","752,998","54,609"
CT,"509,036","465,982","14,291"
DE,"61,011","164,605","2,789"
DC,"119,268",,"8,965"
FL,"1,537,124","2,161,349","68,085"
GA,"814,295","1,104,622",
GU,"27,081","14,836",662
HI,"232,344","116,693","10,947"
ID,"138,038","256,348","10,637"
IL,"1,740,541","1,657,183","31,412"
IN,"640,568","840,694","40,091"
IA,"453,550","546,382","12,690"
KS,"259,911","536,026","33,953"
KY,"350,924","693,860","49,458"
LA,"448,191","793,667","82,962"
ME,"289,514","205,780",
MD,"904,250","752,911","4,757"
MA,"1,528,634","290,484","21,753"
MI,"1,507,174","1,474,178","74,545"
MN,"1,097,911","1,029,612","74,115"
MS,"320,157","338,817","18,662"
MO,"829,177","985,905","38,481"
MT,"108,233","214,100","8,988"
NE,"46,843","386,869","40,102"
NV,"171,160","301,100","27,648"
NH,"175,905","254,797","12,741"
NJ,"1,030,204","933,964","41,891"
NM,"262,100","175,342",82
NY,"1,770,651","1,526,771","524,191"
NC,"970,716","1,209,033","64,400"
ND,"121,073","109,957",
OH,"1,331,614","1,775,555","50,854"
OK,"391,927","546,832","63,093"
OR,"676,920","528,997","34,398"
PA,"1,348,665","1,859,270","102,378"
RI,"224,676","97,137","6,930"
SC,"345,703","569,537","70,194"
SD,"153,656","180,023","3,128"
TN,"708,290","770,514","50,505"
TX,"1,885,178","2,290,723","119,309"
UT,"221,401","321,986","13,766"
VT,,"72,813","152,663"
VA,"440,478","1,007,749","68,255"
VI,"20,414","4,286","5,465"
WA,"907,440","778,922","52,754"
WV,"264,124","135,505",320
WI,"676,925","889,146","71,475"
WY,"65,961","110,229","5,962"
Total:,"33,865,154","37,289,707","2,689,665"
