,State,Democratic,Republican,Others,Year,Election,PercentD
78,HI,313629.0,87172.0,14546.0,2004,Senate,75.51011563824946
79,ID,0.0,499796.0,4136.0,2004,Senate,0.0
80,IL,3597456.0,1390690.0,153374.0,2004,Senate,69.96872520188583
81,IN,1496976.0,903913.0,27344.0,2004,Senate,61.648779173991954
82,IA,412365.0,1038175.0,28688.0,2004,Senate,27.877041267471952
83,KS,310337.0,780863.0,37822.0,2004,Senate,27.487241169791197
84,KY,850855.0,873507.0,0.0,2004,Senate,49.34317736067021
85,LA,877482.0,943014.0,27560.0,2004,Senate,47.481353378901936
86,MD,1504691.0,783055.0,35437.0,2004,Senate,64.76850941144112
87,MO,1158261.0,1518089.0,30052.0,2004,Senate,42.797078926190565
88,NV,494805.0,284640.0,30623.0,2004,Senate,61.08190917305708
89,NH,221549.0,434847.0,690.0,2004,Senate,33.716895505306766
90,NY,4384907.0,1625069.0,692899.0,2004,Senate,65.41830184808758
91,NC,1632527.0,1791450.0,48105.0,2004,Senate,47.018676402227825
92,ND,212143.0,98553.0,0.0,2004,Senate,68.27992635888457
93,OH,1961249.0,3464651.0,296.0,2004,Senate,36.144086944150196
94,OK,596750.0,763433.0,86663.0,2004,Senate,41.24488715454167
95,OR,1128728.0,565254.0,86568.0,2004,Senate,63.39209794726348
96,PA,2334126.0,2925080.0,299899.0,2004,Senate,41.987442223163626
97,SC,704384.0,857167.0,35670.0,2004,Senate,44.10059722480483
98,SD,193340.0,197848.0,0.0,2004,Senate,49.423806456230764
99,UT,258955.0,626640.0,26131.0,2004,Senate,28.4027218703865
100,VT,216972.0,75398.0,14838.0,2004,Senate,70.62706700346345
101,WA,1549708.0,1204584.0,64359.0,2004,Senate,54.980485345649384
102,WI,1632697.0,1301183.0,15863.0,2004,Senate,55.35048307598323
103,Total,43605968.0,39920857.0,2678558.0,2004,Senate,50.58381099008632
104,AZ,664141.0,814398.0,48243.0,2006,Senate,43.49939939035173
105,CA,5076289.0,2990822.0,474365.0,2006,Senate,59.43105149508118
106,CT,450844.0,109198.0,574738.0,2006,Senate,39.729639225224275
107,DE,170567.0,69734.0,13798.0,2006,Senate,67.12619884375775
108,FL,2890548.0,1826127.0,76859.0,2006,Senate,60.30098044574211
109,HI,210330.0,126097.0,6415.0,2006,Senate,61.34895957904808
110,IN,0.0,1171553.0,169558.0,2006,Senate,0.0
111,ME,111984.0,402598.0,29399.0,2006,Senate,20.586013114428628
112,MD,965477.0,787182.0,28480.0,2006,Senate,54.205595408331405
113,MA,1500738.0,661532.0,3220.0,2006,Senate,69.30246733995538
114,MI,2151278.0,1559597.0,69267.0,2006,Senate,56.909978514034655
115,MN,1278849.0,835653.0,88270.0,2006,Senate,58.05634900025968
116,MS,213000.0,388399.0,9522.0,2006,Senate,34.86539176096418
117,MO,1055255.0,1006941.0,66263.0,2006,Senate,49.57835692395297
118,MT,199845.0,196283.0,10377.0,2006,Senate,49.16175692795907
