state,year,totals,pct
CO,2008,285521,28.765609708799154
CO,2009,313641,9.848662620262605
CO,2010,300820,-4.087794644195119
CO,2011,336296,11.79309886310751
CO,2012,414838,23.35502057711063
CO,2013,514658,24.06240508343016
CO,2014,413284,-19.697352416556235
CO,2015,454062,9.866822814335908
CO,2016,540514,19.039690614938042
CO,2017,496995,-8.051410324246921
CO,2018,524770,5.588587410336121
CO,2019,469535,-10.525563580235154
CT,2000,87586,0.4322948319554154
CT,2001,89689,2.401068663941719
CT,2002,93598,4.358394005953903
CT,2003,100567,7.445671916066576
CT,2004,100916,0.3470323267075637
CT,2005,97599,-3.2868920686511593
CT,2006,97616,0.017418211252162585
CT,2007,116112,18.947713489591877
CT,2008,155885,34.25399614165634
CT,2009,202454,29.873945536773896
CT,2010,179595,-11.290959921760003
CT,2011,186068,3.604220607477937
CT,2012,237496,27.639357654190945
CT,2013,294338,23.93387678108263
CT,2014,270297,-8.167820668754967
CT,2015,307750,13.856239617901789
CT,2016,317692,3.230544272948821
CT,2017,181779,-42.7813731538723
CT,2018,177690,-2.2494347531893166
CT,2019,172935,-2.676008779334793
DE,2000,15347,-12.771399340684319
DE,2001,16619,8.288264807454215
DE,2002,16388,-1.3899753294422057
DE,2003,16361,-0.1647546985599213
DE,2004,16424,0.3850620377727543
DE,2005,17121,4.243789576229906
DE,2006,16698,-2.4706500788505337
DE,2007,15912,-4.707150556952932
DE,2008,18102,13.763197586726994
DE,2009,20530,13.412882554413885
DE,2010,19240,-6.2834875791524585
DE,2011,22490,16.891891891891888
DE,2012,30724,36.6118274788795
DE,2013,40062,30.393177971618268
DE,2014,42950,7.20882631920523
DE,2015,50416,17.38300349243307
DE,2016,59430,17.879244684227235
DE,2017,50639,-14.792192495372703
DE,2018,47723,-5.758407551491929
DE,2019,46427,-2.715671688703558
DC,2000,17,-19.047619047619047
DC,2001,17,0.0
DC,2002,7,-58.82352941176471
DC,2003,11,57.14285714285714
DC,2004,14,27.27272727272727
DC,2005,20,42.85714285714286
